"merchant","top_5_cc_amount","total_card_amount","top_5_concentration_pct"
"fraud_Larkin, Stracke and Greenfelder","5551.46","143572.63","3.87"
"fraud_Murray-Smitham","14139.61","365052.41","3.87"
"fraud_Ortiz Group","2280.89","59000.37","3.87"
"fraud_Heller-Abshire","2234.06","57885.82","3.86"
"fraud_Cruickshank-Mills","5850.92","151935.83","3.85"
"fraud_Dibbert-Green","5628.83","146898.46","3.83"
"fraud_Bauch-Blanda","5678.42","148355.72","3.83"
"fraud_Wilkinson Ltd","5699.39","148897.46","3.83"
"fraud_Dare-Marvin","5595.34","146459.64","3.82"
"fraud_O'Keefe-Wisoky","4185.37","109901.83","3.81"
"fraud_Johnston, Nikolaus and Maggio","2309.19","60586.14","3.81"
"fraud_Kemmer-Reinger","2346.39","61523.49","3.81"
"fraud_Douglas-White","5593.09","146765.11","3.81"
"fraud_Homenick LLC","4278.55","112211.95","3.81"
"fraud_Hintz-Bruen","2325.20","61296.97","3.79"
"fraud_Friesen-Ortiz","4133.81","109639.51","3.77"
"fraud_Erdman-Schaden","4011.09","106386.03","3.77"
"fraud_Kilback Group","4412.68","117431.93","3.76"
"fraud_Doyle Ltd","13239.65","352167.45","3.76"
"fraud_Jast and Sons","4194.38","111549.41","3.76"
"fraud_Dibbert and Sons","5861.37","156038.71","3.76"
"fraud_Ledner, Hartmann and Feest","4148.12","110268.66","3.76"
"fraud_Smitham-Boehm","2187.33","58451.25","3.74"
"fraud_Morissette LLC","5673.19","151755.34","3.74"
"fraud_Adams, Kovacek and Kuhlman","2332.56","62524.74","3.73"
"fraud_Zulauf LLC","4153.89","111746.23","3.72"
"fraud_Parker, Nolan and Trantow","5653.70","151852.68","3.72"
"fraud_Beier LLC","5502.97","148206.83","3.71"
"fraud_Brown, Homenick and Lesch","4214.04","113646.05","3.71"
"fraud_Barton Inc","12880.75","349272.00","3.69"
"fraud_Labadie LLC","4015.60","109136.80","3.68"
"fraud_Reichel LLC","3954.66","107720.64","3.67"
"fraud_Nienow PLC","5391.23","146839.27","3.67"
"fraud_Feil-Morar","4341.34","118337.59","3.67"
"fraud_Bahringer Group","4177.15","114175.05","3.66"
"fraud_Bauch-Raynor","13303.16","363932.92","3.66"
"fraud_Effertz LLC","5481.22","149874.71","3.66"
"fraud_Upton PLC","5452.75","149186.64","3.65"
"fraud_Nienow, Barrows and Romaguera","4053.22","111255.44","3.64"
"fraud_Monahan-Morar","3817.80","105249.61","3.63"
"fraud_Hoppe, Harris and Bednar","5326.97","146824.09","3.63"
"fraud_Kirlin and Sons","3897.56","107806.95","3.62"
"fraud_Frami Group","5341.95","147824.10","3.61"
"fraud_Erdman-Ebert","3955.86","109554.45","3.61"
"fraud_Jakubowski Group","4155.37","115236.44","3.61"
"fraud_Sporer-Keebler","3890.77","108205.19","3.60"
"fraud_Johns Inc","5099.80","141735.60","3.60"
"fraud_Zemlak, Tillman and Cremin","3866.82","107589.30","3.59"
"fraud_Johns-Hoeger","5212.56","145655.73","3.58"
"fraud_Lind-Buckridge","5253.77","146793.82","3.58"
"fraud_Kilback and Sons","5359.83","149992.59","3.57"
"fraud_Parker-Kunde","3753.36","105440.85","3.56"
"fraud_Casper, Hand and Zulauf","12634.35","355228.35","3.56"
"fraud_Schumm, Bauch and Ondricka","12811.61","360939.26","3.55"
"fraud_Schultz, Simonis and Little","12238.22","345015.36","3.55"
"fraud_Conroy, Balistreri and Gorczany","4221.77","118995.91","3.55"
"fraud_Pacocha-O'Reilly","13025.68","368042.87","3.54"
"fraud_Heller, Gutmann and Zieme","12452.74","351936.64","3.54"
"fraud_Brown-Greenholt","5348.39","150971.72","3.54"
"fraud_Weber and Sons","4012.26","113605.13","3.53"
"fraud_Emmerich-Rau","3727.87","105634.67","3.53"
"fraud_Heidenreich PLC","12055.60","341821.33","3.53"
"fraud_Bartoletti and Sons","4092.46","116441.47","3.51"
"fraud_Will Ltd","4089.16","116394.52","3.51"
"fraud_Welch, Rath and Koepp","5423.48","154882.33","3.50"
"fraud_Berge, Kautzer and Harris","3884.60","111074.08","3.50"
"fraud_Howe PLC","5291.46","151269.46","3.50"
"fraud_Stark-Batz","5340.40","153573.62","3.48"
"fraud_Nicolas, Hills and McGlynn","5332.95","153426.06","3.48"
"fraud_Thiel-Thiel","5049.69","145213.64","3.48"
"fraud_Funk Group","2043.53","59086.86","3.46"
"fraud_Kiehn Inc","11898.20","343911.25","3.46"
"fraud_Runolfsdottir, Mueller and Hand","5185.60","149666.07","3.46"
"fraud_Schoen, Nienow and Bauch","3858.08","111734.23","3.45"
"fraud_Crooks and Sons","3736.17","108553.00","3.44"
"fraud_Larson-Moen","5034.00","146278.19","3.44"
"fraud_Hagenes, Kohler and Hoppe","4005.14","116874.40","3.43"
"fraud_Kihn, Brakus and Goyette","3603.91","105140.87","3.43"
"fraud_Grimes LLC","5192.73","151712.90","3.42"
"fraud_Reichel Inc","5230.75","152754.74","3.42"
"fraud_Friesen Ltd","3972.74","116616.08","3.41"
"fraud_Ernser-Lynch","4038.96","118454.54","3.41"
"fraud_Hahn, Bahringer and McLaughlin","3617.75","106169.15","3.41"
"fraud_Reinger, Weissnat and Strosin","3906.48","114757.63","3.40"
"fraud_Vandervort-Funk","12019.18","355015.94","3.39"
"fraud_Hudson-Ratke","12209.31","360253.99","3.39"
"fraud_Yost-Rogahn","3744.63","110325.56","3.39"
"fraud_Cormier, Stracke and Thiel","4958.56","146852.23","3.38"
"fraud_Nader-Maggio","3615.68","106858.96","3.38"
"fraud_Turcotte, Batz and Buckridge","3675.30","108864.45","3.38"
"fraud_Osinski, Ledner and Leuschke","12160.37","360656.31","3.37"
"fraud_Strosin-Cruickshank","11698.07","347565.87","3.37"
"fraud_Schumm, McLaughlin and Carter","3858.05","114404.08","3.37"
"fraud_Schneider, Hayes and Nikolaus","3872.56","114795.81","3.37"
"fraud_Reilly and Sons","3773.14","112003.62","3.37"
"fraud_Kuhic Inc","11853.20","351988.85","3.37"
"fraud_Weber, Thiel and Hammes","5288.96","157040.63","3.37"
"fraud_Erdman-Durgan","3801.26","112665.60","3.37"
"fraud_Rau and Sons","12167.80","361804.42","3.36"
"fraud_Powlowski-Weimann","3991.17","119141.38","3.35"
"fraud_Kutch and Sons","11708.47","350365.65","3.34"
"fraud_DuBuque LLC","11793.31","353179.72","3.34"
"fraud_Miller-Hauck","11785.07","354345.97","3.33"
"fraud_Goldner-Lemke","4850.64","145868.75","3.33"
"fraud_Fritsch and Sons","3737.23","112061.60","3.33"
"fraud_Auer-Mosciski","11633.79","349006.60","3.33"
"fraud_Dare, Fritsch and Zboncak","3617.39","108849.13","3.32"
"fraud_Heaney-Marquardt","4964.39","149725.63","3.32"
"fraud_Cartwright-Harris","11532.33","348408.71","3.31"
"fraud_Klein Group","5025.13","151606.96","3.31"
"fraud_Kuhn Group","3806.78","115259.55","3.30"
"fraud_Bins-Howell","3538.90","107279.52","3.30"
"fraud_Feil, Hilpert and Koss","3839.38","116187.79","3.30"
"fraud_Marvin-Lind","3561.63","108368.48","3.29"
"fraud_Leffler-Goldner","3493.09","106045.38","3.29"
"fraud_Lang, Towne and Schuppe","5366.20","163074.90","3.29"
"fraud_Daugherty-Thompson","3836.06","116636.81","3.29"
"fraud_Schoen, Kuphal and Nitzsche","11887.34","361928.46","3.28"
"fraud_Bernhard-Lesch","3817.67","116509.26","3.28"
"fraud_Gottlieb-Hansen","3477.15","106012.71","3.28"
"fraud_Schuppe LLC","4787.89","146476.41","3.27"
"fraud_Goldner, Kovacek and Abbott","11862.00","363601.70","3.26"
"fraud_Turner, Ziemann and Lehner","3667.04","112523.93","3.26"
"fraud_Deckow-O'Conner","11731.15","359303.28","3.26"
"fraud_Jacobi Inc","3667.27","112945.01","3.25"
"fraud_Donnelly LLC","4945.40","152358.40","3.25"
"fraud_Stiedemann Ltd","3640.91","112507.72","3.24"
"fraud_Padberg-Welch","11265.80","348204.38","3.24"
"fraud_Schuppe-Schuppe","3658.09","112757.82","3.24"
"fraud_Huel, Hammes and Witting","11807.97","364340.27","3.24"
"fraud_Walter, Hettinger and Kessler","3564.75","110167.41","3.24"
"fraud_Morissette-Schaefer","3363.73","104151.24","3.23"
"fraud_Graham, Hegmann and Hammes","3894.44","120621.35","3.23"
"fraud_Romaguera Ltd","3667.99","113427.61","3.23"
"fraud_Streich, Rolfson and Wilderman","5031.63","155562.10","3.23"
"fraud_Lakin, Ferry and Beatty","3771.89","117031.37","3.22"
"fraud_Kautzer and Sons","3702.76","115010.34","3.22"
"fraud_Spencer PLC","4791.28","148611.12","3.22"
"fraud_Rutherford-Mertz","11214.53","349124.80","3.21"
"fraud_Mante, Luettgen and Hackett","3765.02","117195.94","3.21"
"fraud_Dare-Gibson","3686.80","114910.01","3.21"
"fraud_Bogisich Inc","11240.03","349968.45","3.21"
"fraud_Schaefer, Fay and Hilll","4489.40","140219.74","3.20"
"fraud_Bradtke PLC","11497.21","358934.77","3.20"
