"merchant","num_dist_cc"
"fraud_Morissette LLC","752"
"fraud_Towne, Greenholt and Koepp","752"
"fraud_Volkman-Predovic","752"
"fraud_Hamill-D'Amore","751"
"fraud_Dibbert-Green","751"
"fraud_Hyatt, Russel and Gleichner","751"
"fraud_Price Inc","751"
"fraud_Haag-Blanda","751"
"fraud_Zboncak Ltd","751"
"fraud_Streich, Dietrich and Barton","750"
"fraud_Altenwerth, Cartwright and Koss","750"
"fraud_Kuhic, Bins and Pfeffer","750"
"fraud_Little, Gutmann and Lynch","750"
"fraud_Douglas-White","750"
"fraud_Goldner-Lemke","750"
"fraud_Zulauf LLC","750"
"fraud_Kuhic LLC","750"
"fraud_McKenzie-Huels","750"
"fraud_Bahringer, Osinski and Block","750"
"fraud_Bechtelar-Rippin","750"
"fraud_Bartoletti and Sons","749"
"fraud_Gerlach Inc","749"
"fraud_Wilkinson LLC","749"
"fraud_Nienow, Barrows and Romaguera","749"
"fraud_Walter, Hettinger and Kessler","749"
"fraud_Leannon-Ward","749"
"fraud_Kassulke PLC","749"
"fraud_Yost-Rogahn","749"
"fraud_Gleason-Macejkovic","748"
"fraud_Gibson-Deckow","748"
"fraud_Sporer-Keebler","748"
"fraud_Fadel Inc","748"
"fraud_Gottlieb-Hansen","748"
"fraud_Hirthe-Beier","748"
"fraud_Becker, Harris and Harvey","748"
"fraud_Reinger, Weissnat and Strosin","748"
"fraud_Reilly and Sons","747"
"fraud_Kihn-Schuster","747"
"fraud_Schaefer, Fay and Hilll","747"
"fraud_Greenholt, O'Hara and Balistreri","747"
"fraud_Deckow-Dare","746"
"fraud_Schroeder, Hauck and Treutel","746"
"fraud_Predovic Inc","746"
"fraud_Will Ltd","746"
"fraud_Heathcote, Yost and Kertzmann","746"
"fraud_Kihn, Brakus and Goyette","746"
"fraud_Rippin-VonRueden","746"
"fraud_Mohr-Bayer","746"
"fraud_Stiedemann Ltd","746"
"fraud_Connelly PLC","746"
"fraud_Langworth LLC","745"
"fraud_Bins-Howell","745"
"fraud_Kub PLC","745"
"fraud_Boyer-Reichert","745"
"fraud_Terry-Huel","745"
"fraud_Koss, McLaughlin and Mayer","745"
"fraud_Waters-Cruickshank","745"
"fraud_Erdman-Durgan","745"
"fraud_Hahn, Bahringer and McLaughlin","745"
"fraud_Cummerata-Hilpert","745"
"fraud_Kilback Group","744"
"fraud_Lind-Buckridge","744"
"fraud_Bradtke, Torp and Bahringer","744"
"fraud_Auer LLC","744"
"fraud_Armstrong, Walter and Gottlieb","744"
"fraud_Kuphal-Toy","744"
"fraud_Dare-Marvin","744"
"fraud_Weber and Sons","743"
"fraud_Graham, Hegmann and Hammes","743"
"fraud_Kautzer and Sons","743"
"fraud_Jakubowski Group","743"
"fraud_Medhurst PLC","743"
"fraud_O'Keefe-Wisoky","743"
"fraud_Donnelly LLC","742"
"fraud_Kuhn Group","742"
"fraud_Adams-Barrows","742"
"fraud_Kilback and Sons","742"
"fraud_Harris Group","742"
"fraud_Kub-Heaney","741"
"fraud_Runte-Mohr","741"
"fraud_Klein Group","741"
"fraud_Homenick LLC","741"
"fraud_Abernathy and Sons","740"
"fraud_Baumbach Ltd","739"
"fraud_Nader-Maggio","739"
"fraud_Zboncak LLC","738"
"fraud_Rolfson-Kunde","738"
"fraud_Graham and Sons","738"
"fraud_Crooks and Sons","738"
"fraud_Reichel LLC","738"
"fraud_Kertzmann LLC","738"
"fraud_Schroeder Group","737"
"fraud_Carroll PLC","737"
"fraud_Maggio-Fahey","737"
"fraud_Monahan-Morar","737"
"fraud_Kerluke-Abshire","736"
"fraud_Langosh, Wintheiser and Hyatt","736"
"fraud_Bashirian Group","736"
"fraud_Bernhard-Lesch","736"
"fraud_Erdman-Schaden","736"
"fraud_Lemke-Gutmann","736"
"fraud_Stamm-Witting","735"
"fraud_Erdman-Ebert","735"
"fraud_Friesen-Ortiz","735"
"fraud_Kihn, Abernathy and Douglas","735"
"fraud_Hermiston, Pacocha and Smith","735"
"fraud_Reichert, Huels and Hoppe","734"
"fraud_Torp-Lemke","734"
"fraud_Abbott-Steuber","734"
"fraud_Osinski Inc","734"
"fraud_Feil-Morar","733"
"fraud_Swaniawski, Nitzsche and Welch","733"
"fraud_Konopelski, Schneider and Hartmann","733"
"fraud_Parker-Kunde","732"
"fraud_Reichert, Rowe and Mraz","732"
"fraud_Mueller, Gerhold and Mueller","732"
"fraud_Kassulke Inc","732"
"fraud_Kirlin and Sons","732"
"fraud_Lubowitz, Terry and Stracke","731"
"fraud_Brown, Homenick and Lesch","731"
"fraud_Emmerich-Rau","731"
"fraud_Romaguera Ltd","731"
"fraud_Conroy, Balistreri and Gorczany","731"
"fraud_Klocko, Runolfsdottir and Breitenberg","730"
"fraud_Shields-Wunsch","730"
"fraud_Conroy-Emard","730"
"fraud_Hintz, Bauch and Smith","730"
"fraud_Prosacco LLC","729"
"fraud_Turner, Ziemann and Lehner","729"
"fraud_Leffler-Goldner","728"
"fraud_Fritsch and Sons","728"
"fraud_Dietrich-Fadel","728"
"fraud_Hills, Hegmann and Schaefer","728"
"fraud_Watsica LLC","728"
"fraud_Schneider, Hayes and Nikolaus","727"
"fraud_Dare-Gibson","727"
"fraud_Terry, Johns and Bins","726"
"fraud_Kulas Group","726"
"fraud_Jast and Sons","726"
"fraud_Stamm-Rodriguez","726"
"fraud_Heller PLC","726"
"fraud_Bahringer Group","726"
"fraud_Dare, Fritsch and Zboncak","725"
"fraud_Zemlak, Tillman and Cremin","725"
"fraud_McCullough LLC","725"
"fraud_Roob-Okuneva","725"
"fraud_Cronin, Kshlerin and Weber","724"
"fraud_Mante, Luettgen and Hackett","724"
"fraud_Medhurst, Cartwright and Ebert","723"
"fraud_Friesen Ltd","722"
"fraud_Ziemann-Waters","722"
"fraud_Ratke and Sons","722"
"fraud_Towne LLC","722"
"fraud_Hermann-Gaylord","722"
"fraud_Howe Ltd","722"
"fraud_Turner, Ruecker and Parisian","720"
"fraud_Kemmer-Buckridge","720"
"fraud_Ledner, Hartmann and Feest","720"
"fraud_Jacobi Inc","719"
"fraud_Balistreri-Nader","719"
"fraud_Wiza, Schaden and Stark","719"
"fraud_Torphy-Kertzmann","719"
"fraud_Torp, Muller and Borer","718"
"fraud_Herman Inc","718"
"fraud_Turcotte, Batz and Buckridge","718"
"fraud_Keeling-Crist","718"
"fraud_Marvin-Lind","716"
"fraud_Runte, Green and Emard","716"
"fraud_Bruen-Yost","716"
"fraud_Fadel-Hilpert","714"
"fraud_Wintheiser, Dietrich and Schimmel","714"
"fraud_Cremin, Hamill and Reichel","714"
"fraud_McGlynn-Jaskolski","714"
"fraud_Wiza LLC","713"
"fraud_Nienow, Ankunding and Collier","713"
"fraud_Simonis-Prohaska","713"
"fraud_Thiel PLC","713"
"fraud_Buckridge PLC","713"
"fraud_Smith-Stokes","712"
"fraud_Thompson-Gleason","712"
"fraud_Herzog Ltd","712"
"fraud_Greenholt Ltd","711"
"fraud_Wisozk and Sons","709"
"fraud_Christiansen-Gusikowski","709"
"fraud_Halvorson Group","709"
"fraud_Turcotte-Halvorson","708"
"fraud_Roberts-Beahan","708"
"fraud_Boehm, Predovic and Reinger","708"
"fraud_Eichmann-Russel","708"
"fraud_Flatley Group","707"
"fraud_Block Group","706"
"fraud_Yost, Block and Koepp","705"
"fraud_Dickinson-Rempel","705"
"fraud_McDermott-Rice","704"
"fraud_Schmeler Inc","704"
"fraud_Williamson LLC","704"
"fraud_Boehm, Block and Jakubowski","704"
"fraud_Haley Group","703"
"fraud_Gutmann-Upton","702"
"fraud_Spencer-Runolfsson","702"
"fraud_Reynolds-Schinner","701"
"fraud_Lehner, Reichert and Mills","699"
"fraud_Monahan, Bogisich and Ledner","695"
"fraud_Stiedemann Inc","694"
"fraud_Welch Inc","675"
"fraud_Bednar Group","672"
"fraud_Kerluke Inc","669"
"fraud_Klocko LLC","668"
"fraud_Huel Ltd","666"
"fraud_Lebsack and Sons","664"
"fraud_Herman, Treutel and Dickens","663"
"fraud_McGlynn-Heathcote","663"
"fraud_Johnson, Runolfsdottir and Mayer","662"
"fraud_Mante Group","662"
"fraud_Moore, Dibbert and Koepp","662"
"fraud_Ruecker Group","661"
"fraud_Jaskolski-Vandervort","660"
"fraud_Schmitt Ltd","660"
"fraud_Tillman, Fritsch and Schmitt","658"
"fraud_Miller-Harris","657"
"fraud_Kuphal-Bartoletti","657"
"fraud_Zemlak Group","656"
"fraud_Ferry, Lynch and Kautzer","655"
"fraud_Kerluke, Considine and Macejkovic","654"
"fraud_Huel-Langworth","654"
"fraud_Greenfelder, Bartoletti and Davis","654"
"fraud_Durgan-Auer","654"
"fraud_Rippin, Kub and Mann","653"
"fraud_Kerluke, Kertzmann and Wiza","652"
"fraud_Parisian, Schiller and Altenwerth","651"
"fraud_Kerluke PLC","650"
"fraud_Koelpin and Sons","649"
"fraud_Donnelly PLC","649"
"fraud_Corwin-Gorczany","649"
"fraud_Bernier, Volkman and Hoeger","649"
"fraud_Block-Parisian","647"
"fraud_Lehner, Mosciski and King","646"
"fraud_Stehr, Jewess and Schimmel","645"
"fraud_Flatley-Durgan","644"
"fraud_Jones, Sawayn and Romaguera","643"
"fraud_Dach-Nader","643"
"fraud_Bogisich-Homenick","642"
"fraud_Rohan, White and Aufderhar","642"
"fraud_Kuphal-Predovic","640"
"fraud_Brown PLC","639"
"fraud_Rodriguez, Yost and Jenkins","639"
"fraud_Kunde-Sanford","639"
"fraud_Volkman Ltd","638"
"fraud_Hayes, Marquardt and Dibbert","637"
"fraud_Kris-Weimann","636"
"fraud_Hamill-Daugherty","635"
"fraud_Nader-Heller","629"
"fraud_Dooley-Thompson","618"
"fraud_Ebert-Daugherty","583"
"fraud_Little-Gleichner","583"
"fraud_Block-Hauck","582"
"fraud_Eichmann, Hayes and Treutel","581"
"fraud_Corwin-Romaguera","579"
"fraud_Johnston-Casper","578"
"fraud_Thiel Ltd","577"
"fraud_Fritsch LLC","576"
"fraud_Reichert-Weissnat","574"
"fraud_Larson, Quitzon and Spencer","573"
"fraud_Hartmann, Rowe and Hermann","573"
"fraud_Kunze, Larkin and Mayert","568"
"fraud_Reichel, Bradtke and Blanda","568"
"fraud_Goyette-Herzog","565"
"fraud_Hyatt-Blick","564"
"fraud_Turner LLC","563"
"fraud_Breitenberg LLC","563"
"fraud_Boyer-Haley","562"
"fraud_Hagenes, Hermann and Stroman","561"
"fraud_Hahn, Douglas and Schowalter","561"
"fraud_Veum-Koelpin","561"
"fraud_Hackett Group","560"
"fraud_Bednar Inc","559"
"fraud_Monahan, Hermann and Johns","559"
"fraud_Champlin, Rolfson and Connelly","559"
"fraud_Kris-Kertzmann","559"
"fraud_Schroeder, Wolff and Hermiston","559"
"fraud_Ritchie, Oberbrunner and Cremin","557"
"fraud_Ankunding-Carroll","557"
"fraud_Lynch-Mohr","555"
"fraud_Medhurst, Labadie and Gottlieb","555"
"fraud_McLaughlin, Armstrong and Koepp","553"
"fraud_Kozey-McDermott","553"
"fraud_Hodkiewicz, Prohaska and Paucek","553"
"fraud_Lemke and Sons","552"
"fraud_Leannon-Nikolaus","552"
"fraud_Kilback, Nitzsche and Leffler","552"
"fraud_Kessler Inc","551"
"fraud_Romaguera and Sons","548"
"fraud_Kessler Group","548"
"fraud_Mosciski Group","547"
"fraud_Tromp Group","547"
"fraud_Ritchie, Bradtke and Stiedemann","546"
"fraud_Douglas, DuBuque and McKenzie","546"
"fraud_Tillman LLC","545"
"fraud_Kovacek Ltd","544"
"fraud_Satterfield-Lowe","543"
"fraud_Treutel-King","543"
"fraud_Jerde-Hermann","530"
"fraud_Roob LLC","516"
"fraud_Dicki Ltd","515"
"fraud_Bernier, Streich and Jewess","512"
"fraud_Ferry, Reichel and DuBuque","511"
"fraud_Stokes, Christiansen and Sipes","509"
"fraud_Collier Inc","506"
"fraud_Morissette, Weber and Wiegand","506"
"fraud_Kemmer-Reinger","505"
"fraud_Towne, Walker and Borer","504"
"fraud_Rowe-Vandervort","504"
"fraud_Paucek-Wiza","504"
"fraud_Rempel PLC","503"
"fraud_Kutch-Hegmann","502"
"fraud_Funk Group","501"
"fraud_Spinka-Welch","501"
"fraud_Morar Inc","501"
"fraud_Bahringer-Larson","501"
"fraud_Hills-Olson","500"
"fraud_Hintz-Bruen","500"
"fraud_Johnston, Nikolaus and Maggio","498"
"fraud_Emmerich-Luettgen","498"
"fraud_Tromp, Kerluke and Glover","498"
"fraud_Jaskolski-Dibbert","498"
"fraud_Skiles-Ankunding","497"
"fraud_Adams, Kovacek and Kuhlman","493"
"fraud_Cassin-Harvey","493"
"fraud_Runolfsson and Sons","493"
"fraud_Smitham-Schiller","492"
"fraud_Swift, Bradtke and Marquardt","492"
"fraud_VonRueden Group","492"
"fraud_Kling-Grant","491"
"fraud_Kutch Group","490"
"fraud_Trantow PLC","490"
"fraud_Dach-Borer","490"
"fraud_Wiegand-Lowe","490"
"fraud_Ortiz Group","488"
"fraud_Gutmann Ltd","488"
"fraud_Heller-Abshire","487"
"fraud_Spinka Inc","487"
"fraud_Swaniawski, Bahringer and Ledner","487"
"fraud_Murray Ltd","486"
"fraud_Shields Inc","486"
"fraud_Wuckert-Walter","485"
"fraud_Pfeffer LLC","485"
"fraud_Smitham-Boehm","484"
"fraud_Harris, Gusikowski and Heaney","483"
"fraud_Cummings Group","483"
"fraud_Rutherford, Homenick and Bergstrom","482"
"fraud_McCullough Group","473"
"fraud_Kohler, Lindgren and Koelpin","468"
