"merchant","transaction_count","fraud_count","total_amount","total_fraud_amount","fraud_rate_pct"
"fraud_Greenfelder, Bartoletti and Davis","1606","8","134944.61","6401.30","0.50"
"fraud_Mosciski Group","991","5","124585.64","33.68","0.50"
"fraud_Heller-Langosh","3188","16","202525.85","236.44","0.50"
"fraud_Ankunding-Carroll","1010","5","132658.53","32.19","0.50"
"fraud_Bernhard Inc","3210","16","202535.92","162.63","0.50"
"fraud_Tillman, Dickinson and Labadie","3231","16","205527.02","218.74","0.50"
"fraud_Ritchie, Oberbrunner and Cremin","1026","5","126491.70","48.95","0.49"
"fraud_Koss and Sons","3252","16","206761.11","177.68","0.49"
"fraud_Schmitt Inc","3238","16","204970.27","218.34","0.49"
"fraud_Christiansen, Goyette and Schamberger","3266","16","207207.98","226.57","0.49"
"fraud_Lesch Ltd","2845","14","245194.89","12416.61","0.49"
"fraud_Eichmann, Hayes and Treutel","1028","5","129186.99","47.83","0.49"
"fraud_Cummerata-Jones","3303","16","209979.84","167.02","0.48"
"fraud_Eichmann, Bogan and Rodriguez","3307","16","209299.19","189.32","0.48"
"fraud_Willms, Kris and Bergnaum","2983","14","211691.63","12680.47","0.47"
"fraud_Reilly, Heaney and Cole","3187","15","201231.36","193.88","0.47"
"fraud_VonRueden Group","1082","5","59441.53","49.54","0.46"
"fraud_Friesen Inc","2837","13","209832.21","10884.46","0.46"
"fraud_Okuneva, Schneider and Rau","2864","13","213974.85","11558.72","0.45"
"fraud_Greenholt, Jacobi and Gleason","3307","15","209811.46","188.36","0.45"
"fraud_Shields Inc","1114","5","58681.84","47.94","0.45"
"fraud_Weimann, Kuhic and Beahan","2888","13","232420.68","11578.75","0.45"
"fraud_Stroman, Hudson and Erdman","3340","15","213540.26","190.44","0.45"
"fraud_Erdman-Kertzmann","3303","15","210191.22","166.88","0.45"
"fraud_Halvorson Group","1994","9","120277.96","155.65","0.45"
"fraud_Murray Ltd","1142","5","60315.39","68.52","0.44"
"fraud_Kuvalis Ltd","3201","14","202308.34","184.03","0.44"
"fraud_Spinka-Welch","1132","5","61859.90","56.45","0.44"
"fraud_Gutmann Ltd","1141","5","60154.94","55.45","0.44"
"fraud_Schaefer, Maggio and Daugherty","3192","14","202113.17","166.66","0.44"
"fraud_Kutch LLC","3280","14","208547.43","158.55","0.43"
"fraud_Bartoletti-Wunsch","3322","14","210508.63","186.18","0.42"
"fraud_Stark-Batz","2358","10","153573.62","5462.10","0.42"
"fraud_Gutmann-Upton","1908","8","123873.98","2659.77","0.42"
"fraud_Bernier, Streich and Jewess","1184","5","63329.02","66.82","0.42"
"fraud_Stiedemann Inc","1955","8","127295.64","963.28","0.41"
"fraud_Reynolds-Schinner","1934","8","122294.58","1732.67","0.41"
"fraud_Turner, Ruecker and Parisian","1964","8","127061.07","2962.01","0.41"
"fraud_Harber Inc","3207","13","203062.16","157.42","0.41"
"fraud_Herman Inc","1945","8","117585.66","851.58","0.41"
"fraud_Marks Inc","3180","13","201730.42","183.04","0.41"
"fraud_Boehm, Predovic and Reinger","1949","8","128773.43","2626.13","0.41"
"fraud_Huels-Nolan","3192","13","203951.99","177.44","0.41"
"fraud_Haley Group","2011","8","130698.29","1510.72","0.40"
"fraud_Jast-McDermott","2777","11","215190.74","9752.12","0.40"
"fraud_Friesen-Stamm","3274","13","206797.42","172.93","0.40"
"fraud_Bins-Rice","3222","13","204335.68","182.01","0.40"
"fraud_Crooks and Sons","2277","9","108553.00","241.54","0.40"
"fraud_Corwin-Collins","3349","13","212318.16","150.02","0.39"
"fraud_Hagenes, Hermann and Stroman","1031","4","128244.21","21.52","0.39"
"fraud_Hudson-Grady","2836","11","218431.24","10049.01","0.39"
"fraud_Heller-Abshire","1066","4","57885.82","58.71","0.38"
"fraud_Bins, Balistreri and Beatty","2880","11","219331.52","10001.69","0.38"
"fraud_Ratke and Sons","2090","8","112248.99","158.86","0.38"
"fraud_Block-Hauck","1071","4","94063.03","33.46","0.37"
"fraud_Connelly, Reichert and Fritsch","3278","12","208759.92","128.16","0.37"
"fraud_Harris Inc","3225","12","205488.69","159.76","0.37"
"fraud_Brekke and Sons","3279","12","207276.70","156.20","0.37"
"fraud_Robel, Cummerata and Prosacco","3222","12","203835.47","146.46","0.37"
"fraud_Corwin-Romaguera","1074","4","112587.64","36.36","0.37"
"fraud_Cummings LLC","3212","12","203771.89","171.48","0.37"
"fraud_Schaefer, McGlynn and Bosco","3207","12","204996.86","120.01","0.37"
"fraud_Fahey Inc","2738","10","161765.02","180.65","0.37"
"fraud_Jaskolski-Dibbert","1123","4","60794.65","48.26","0.36"
"fraud_Gislason Group","3079","11","232132.39","137.93","0.36"
"fraud_Collier Inc","1106","4","59614.61","42.34","0.36"
"fraud_Harris, Gusikowski and Heaney","1113","4","59043.48","49.40","0.36"
"fraud_Thiel PLC","1971","7","131810.12","57.43","0.36"
"fraud_Emmerich-Luettgen","1102","4","60540.78","44.05","0.36"
"fraud_Mraz-Herzog","3301","12","207991.37","132.39","0.36"
"fraud_Johnston, Nikolaus and Maggio","1121","4","60586.14","51.02","0.36"
"fraud_Wisozk and Sons","1948","7","118215.91","1744.95","0.36"
"fraud_Cremin, Hamill and Reichel","1933","7","123806.17","1701.01","0.36"
"fraud_Wuckert-Walter","1116","4","60860.84","46.73","0.36"
"fraud_Dickinson-Rempel","1949","7","121374.38","2331.89","0.36"
"fraud_Cassin-Harvey","1128","4","61423.41","52.30","0.35"
"fraud_Homenick LLC","2270","8","112211.95","225.09","0.35"
"fraud_Towne, Walker and Borer","1142","4","61571.84","52.03","0.35"
"fraud_Langworth LLC","2263","8","110025.11","215.27","0.35"
"fraud_Yost, Block and Koepp","2028","7","132154.38","818.40","0.35"
"fraud_Bruen-Yost","1991","7","129000.82","1640.21","0.35"
"fraud_Daugherty, Pouros and Beahan","2896","10","231810.67","8939.35","0.35"
"fraud_Adams, Kovacek and Kuhlman","1172","4","62524.74","59.48","0.34"
"fraud_Abshire PLC","2358","8","155156.46","4147.43","0.34"
"fraud_Morissette PLC","2922","10","202648.80","8767.37","0.34"
"fraud_Spencer PLC","2325","8","148611.12","3974.16","0.34"
"fraud_Roob LLC","1166","4","62930.77","53.04","0.34"
"fraud_Kutch-Hegmann","1178","4","62904.80","45.76","0.34"
"fraud_Hills-Boyer","2333","8","111523.47","221.13","0.34"
"fraud_Spinka Inc","1160","4","62372.34","44.80","0.34"
"fraud_Hilpert-Conroy","2915","10","167530.44","180.06","0.34"
"fraud_Luettgen PLC","3204","11","202647.42","123.65","0.34"
"fraud_Ledner-Pfannerstill","3256","11","207709.17","120.71","0.34"
"fraud_Lind, Huel and McClure","3246","11","206783.43","120.72","0.34"
"fraud_Runte, Green and Emard","2100","7","116966.47","143.89","0.33"
"fraud_Rodriguez Group","3335","11","210524.51","141.31","0.33"
"fraud_Olson, Becker and Koch","3316","11","210754.22","113.40","0.33"
"fraud_Emard Inc","3369","11","214433.36","124.54","0.33"
"fraud_Ledner, Hartmann and Feest","2120","7","110268.66","139.61","0.33"
"fraud_Larkin Ltd","2754","9","156933.31","176.09","0.33"
"fraud_Streich, Rolfson and Wilderman","2757","9","155562.10","123.05","0.33"
"fraud_Satterfield-Lowe","936","3","97549.43","27.52","0.32"
"fraud_Friesen-D'Amore","3159","10","200942.66","106.44","0.32"
"fraud_Kassulke Inc","2234","7","145066.78","3406.47","0.31"
"fraud_Leffler-Goldner","2262","7","106045.38","173.12","0.31"
"fraud_Bernhard, Grant and Langworth","2866","9","217800.22","7692.14","0.31"
"fraud_Gottlieb-Hansen","2293","7","106012.71","171.86","0.31"
"fraud_Hahn, Douglas and Schowalter","963","3","110940.85","32.02","0.31"
"fraud_Kessler Group","963","3","90036.45","26.88","0.31"
"fraud_Kessler Inc","973","3","105543.94","27.42","0.31"
"fraud_Streich, Hansen and Veum","3259","10","206735.20","139.45","0.31"
"fraud_Metz-Boehm","2865","9","217893.54","8503.91","0.31"
"fraud_Bradtke, Torp and Bahringer","2238","7","107291.97","222.86","0.31"
"fraud_Keeling-Crist","1966","6","124539.30","683.90","0.31"
"fraud_Balistreri-Nader","1999","6","122542.16","50.02","0.30"
"fraud_Leannon-Nikolaus","988","3","108987.49","29.25","0.30"
"fraud_Terry, Johns and Bins","1991","6","120132.76","139.07","0.30"
"fraud_Nienow PLC","2340","7","146839.27","3727.53","0.30"
"fraud_Wintheiser, Dietrich and Schimmel","2033","6","141047.72","917.49","0.30"
"fraud_Gibson-Deckow","2300","7","147282.67","3441.53","0.30"
"fraud_Wiza LLC","1996","6","114846.80","1078.45","0.30"
"fraud_Kris-Kertzmann","995","3","101415.46","27.32","0.30"
"fraud_Monahan, Hermann and Johns","1011","3","129633.95","30.82","0.30"
"fraud_Lehner, Reichert and Mills","1998","6","123019.01","926.85","0.30"
"fraud_Boyer-Haley","1011","3","157668.08","27.64","0.30"
"fraud_Little-Gleichner","991","3","140522.10","21.73","0.30"
"fraud_Larson, Quitzon and Spencer","1013","3","118552.97","23.98","0.30"
"fraud_Kling Inc","3351","10","212983.47","113.24","0.30"
"fraud_Walter, Hettinger and Kessler","2328","7","110167.41","203.87","0.30"
"fraud_Dibbert-Green","2306","7","146898.46","3621.91","0.30"
"fraud_Wilkinson Ltd","2323","7","148897.46","3457.66","0.30"
"fraud_Bahringer, Bergnaum and Quitzon","3077","9","181959.69","2505.40","0.29"
"fraud_Ziemann-Waters","2091","6","113650.51","114.75","0.29"
"fraud_Schiller, Blanda and Johnson","3078","9","182373.22","2394.47","0.29"
"fraud_Bednar Inc","1042","3","113109.95","31.13","0.29"
"fraud_Ullrich Ltd","2804","8","157335.07","141.82","0.29"
"fraud_Ebert-Daugherty","1050","3","107997.79","34.37","0.29"
"fraud_Dare, Casper and Bartoletti","2719","8","153558.88","130.08","0.29"
"fraud_Fritsch LLC","1019","3","127956.67","28.87","0.29"
"fraud_Brown Inc","2736","8","159535.13","163.41","0.29"
"fraud_Reilly and Sons","2110","6","112003.62","125.90","0.28"
"fraud_Bode-Schuster","2814","8","161412.99","145.77","0.28"
"fraud_Hyatt-Blick","1060","3","99862.22","28.90","0.28"
"fraud_Kutch, Hermiston and Farrell","3203","9","202463.25","116.67","0.28"
"fraud_Kutch Group","1105","3","58660.36","36.78","0.27"
"fraud_Howe PLC","2240","6","151269.46","3143.46","0.27"
"fraud_Bahringer, Osinski and Block","2241","6","110375.69","677.54","0.27"
"fraud_Kuhn Group","2216","6","115259.55","769.16","0.27"
"fraud_Huels-Hahn","3308","9","210887.56","104.19","0.27"
"fraud_Effertz LLC","2261","6","149874.71","3119.69","0.27"
"fraud_McCullough Group","1126","3","60143.28","33.14","0.27"
"fraud_Konopelski, Schneider and Hartmann","2186","6","109325.62","703.34","0.27"
"fraud_Runolfsson and Sons","1119","3","60806.56","31.28","0.27"
"fraud_Hahn, Bahringer and McLaughlin","2243","6","106169.15","182.54","0.27"
"fraud_Morissette, Weber and Wiegand","1124","3","61105.57","36.31","0.27"
"fraud_Sporer-Keebler","2251","6","108205.19","152.50","0.27"
"fraud_Rempel PLC","1097","3","58722.50","38.80","0.27"
"fraud_Hintz-Bruen","1132","3","61296.97","36.29","0.27"
"fraud_Abbott-Steuber","2191","6","110578.62","149.04","0.27"
"fraud_Powlowski-Weimann","2264","6","119141.38","695.10","0.27"
"fraud_Shanahan-Lehner","2242","6","107253.86","129.95","0.27"
"fraud_Windler, Goodwin and Kovacek","3018","8","174250.79","2207.71","0.27"
"fraud_Bins-Howell","2220","6","107279.52","116.80","0.27"
"fraud_Schimmel-Olson","2737","7","155456.23","133.45","0.26"
"fraud_Rowe-Vandervort","1159","3","62441.87","36.46","0.26"
"fraud_Erdman-Ebert","2266","6","109554.45","181.70","0.26"
"fraud_Renner Ltd","3114","8","186621.00","1953.80","0.26"
"fraud_Kutch, Steuber and Gerhold","2330","6","121982.23","730.33","0.26"
"fraud_Nienow, Ankunding and Collier","1918","5","118302.17","81.04","0.26"
"fraud_Rutherford, Homenick and Bergstrom","1172","3","63595.99","36.56","0.26"
"fraud_Larson-Moen","2312","6","146278.19","2801.80","0.26"
"fraud_Heaney-Marquardt","2331","6","149725.63","2963.65","0.26"
"fraud_Cormier, Stracke and Thiel","2303","6","146852.23","3078.83","0.26"
"fraud_Harris Group","2287","6","119356.62","683.21","0.26"
"fraud_Morissette LLC","2308","6","151755.34","3062.93","0.26"
"fraud_Graham, Hegmann and Hammes","2312","6","120621.35","771.91","0.26"
"fraud_Monahan, Bogisich and Ledner","1914","5","120603.90","1536.73","0.26"
"fraud_Altenwerth-Kilback","3096","8","178128.08","2033.38","0.26"
"fraud_Towne LLC","1926","5","121751.08","794.52","0.26"
"fraud_Donnelly LLC","2301","6","152358.40","2978.99","0.26"
"fraud_Effertz, Welch and Schowalter","2297","6","143747.54","3096.08","0.26"
"fraud_Kling-Grant","1145","3","61680.55","42.51","0.26"
"fraud_Torp-Lemke","2016","5","114604.05","126.54","0.25"
"fraud_Raynor, Reinger and Hagenes","3258","8","206499.70","94.98","0.25"
"fraud_Zieme, Bode and Dooley","3232","8","204434.80","98.86","0.25"
"fraud_Schuppe LLC","2360","6","146476.41","2921.43","0.25"
"fraud_Reichel Inc","2365","6","152754.74","3128.21","0.25"
"fraud_Nicolas, Hills and McGlynn","2429","6","153426.06","3140.09","0.25"
"fraud_Kemmer-Buckridge","2000","5","123419.49","886.60","0.25"
