"city","total_trans","fraud_trans","fraud_rate","fraud_amount"
"New Franken","630","9","1.43","6172.33"
"Spirit Lake","630","9","1.43","4182.42"
"Hartford","633","9","1.42","3948.15"
"Galatia","635","9","1.42","4434.95"
"Williams","633","9","1.42","6805.61"
"Smithfield","636","9","1.42","4862.55"
"De Queen","634","9","1.42","3826.16"
"Collegeville","634","9","1.42","5401.99"
"Arvada","636","9","1.42","4277.87"
"Liberty Mills","636","9","1.42","5723.75"
"New Goshen","639","9","1.41","4273.05"
"Shedd","641","9","1.40","4156.01"
"Desdemona","645","9","1.40","4916.74"
"Bynum","641","9","1.40","3268.85"
"Los Angeles","643","9","1.40","5741.70"
"Apison","648","9","1.39","5856.45"
"Port Saint Lucie","649","9","1.39","3516.91"
"Loami","653","9","1.38","1684.08"
"Springfield Gardens","655","9","1.37","5368.06"
"Paxton","658","9","1.37","5637.13"
"Grand Bay","1282","17","1.33","11416.52"
"Randolph","1914","25","1.31","14773.45"
"Jackson","618","8","1.29","5610.80"
"Gainesville","620","8","1.29","2938.70"
"Jaffrey","627","8","1.28","5629.41"
"Dalton","632","8","1.27","3410.30"
"Malad City","630","8","1.27","3688.14"
"Red Cliff","631","8","1.27","4495.30"
"Republic","631","8","1.27","4087.79"
"Dexter","635","8","1.26","4229.81"
"North Las Vegas","636","8","1.26","6104.83"
"Reynolds","1285","16","1.25","8514.77"
"Cassatt","640","8","1.25","3857.99"
"Bryant","641","8","1.25","6149.34"
"Boyd","639","8","1.25","3837.62"
"Winthrop","639","8","1.25","3931.32"
"Michigan","644","8","1.24","5432.82"
"Kingsville","645","8","1.24","3353.14"
"Kittery Point","643","8","1.24","4161.55"
"Waynesfield","653","8","1.23","2358.18"
"Tuscarora","648","8","1.23","5183.72"
"Lane","656","8","1.22","5339.28"
"Des Moines","1895","23","1.21","10851.75"
"Prosperity","1262","15","1.19","4234.21"
"Luzerne","1273","15","1.18","8844.41"
"Amsterdam","1276","15","1.18","10562.21"
"Heislerville","1287","15","1.17","7709.97"
"Falls Church","1281","15","1.17","7263.55"
"Clifton","1265","14","1.11","4093.88"
"Lonetree","1260","14","1.11","9141.30"
"West Chazy","630","7","1.11","3736.01"
"Dayton","632","7","1.11","3993.84"
"New York City","3171","35","1.10","21187.82"
"Trenton","635","7","1.10","1792.65"
"Ehrhardt","638","7","1.10","3977.05"
"Umatilla","1284","14","1.09","5274.45"
"Eagarville","1279","14","1.09","8898.49"
"Dublin","641","7","1.09","3471.28"
"Parker","642","7","1.09","4795.65"
"Spring","644","7","1.09","5349.87"
"Nelson","1296","14","1.08","9764.47"
"Jordanville","1291","14","1.08","3895.83"
"Rossville","650","7","1.08","2641.64"
"Linthicum Heights","646","7","1.08","3438.64"
"Camden","3182","34","1.07","18467.82"
"Oakdale","655","7","1.07","4501.14"
"Moores Hill","653","7","1.07","5307.94"
"Kenner","1925","20","1.04","9853.69"
"Arlington","1916","20","1.04","10874.26"
"Orr","1251","13","1.04","6627.06"
"Scotts Mills","1276","13","1.02","7303.04"
"Vanderbilt","1276","13","1.02","6385.89"
"West Eaton","1271","13","1.02","6267.71"
"Kent","1275","13","1.02","5832.92"
"Hedley","1276","13","1.02","5526.49"
"Clune","1277","13","1.02","8367.59"
"Carroll","1288","13","1.01","6245.03"
"West Bethel","610","6","0.98","3730.08"
"Pecos","623","6","0.96","1243.21"
"Deane","1894","18","0.95","8960.29"
"Phil Campbell","1266","12","0.95","9061.41"
"Manor","1262","12","0.95","7938.95"
"Belle Fourche","1268","12","0.95","9312.69"
"Central","1265","12","0.95","4701.29"
"West Palm Beach","1905","18","0.94","9535.30"
"Wauchula","1274","12","0.94","5317.94"
"Belmont","1274","12","0.94","5489.25"
"Sterling City","1271","12","0.94","6377.88"
"Stayton","1277","12","0.94","8195.87"
"Paradise Valley","1271","12","0.94","7888.13"
"Brantley","1283","12","0.94","8154.66"
"Lebanon","1276","12","0.94","2645.31"
"Queenstown","1279","12","0.94","5991.51"
"Humble","1277","12","0.94","7859.09"
"Beaverdam","1276","12","0.94","7927.63"
"Sauk Rapids","1290","12","0.93","8967.46"
"Portland","1296","12","0.93","6249.57"
"Dubre","1290","12","0.93","5476.22"
"Waukesha","1293","12","0.93","7643.54"
"Dresden","646","6","0.93","4874.62"
"Port Richey","1302","12","0.92","6465.86"
"Nokomis","649","6","0.92","3315.24"
"Georgetown","2530","23","0.91","9329.23"
"Louisville","2537","23","0.91","13956.59"
"Unionville","1253","11","0.88","8490.47"
"Mount Clemens","1251","11","0.88","3806.77"
"Dallas","4463","39","0.87","26571.84"
"Ridgeland","1261","11","0.87","3950.54"
"Leetsdale","1262","11","0.87","8084.12"
"Cressona","1271","11","0.87","3573.30"
"Armonk","1271","11","0.87","7562.43"
"Pomona","1266","11","0.87","6760.95"
"Higganum","1281","11","0.86","7477.66"
"Union","1272","11","0.86","6151.38"
"East Troy","1275","11","0.86","8221.52"
"Hurley","1280","11","0.86","3941.63"
"Weeping Water","1278","11","0.86","5249.97"
"Rumely","1284","11","0.86","7147.17"
"Downsville","1288","11","0.85","6352.62"
"Sixes","1296","11","0.85","6105.37"
"Halma","1290","11","0.85","5841.77"
"University","1905","16","0.84","8679.31"
"Hahira","1899","16","0.84","10231.39"
"Greenwood","1302","11","0.84","7098.71"
"Cecilton","1876","15","0.80","8327.99"
"Vinton","1247","10","0.80","6044.16"
"Smock","1254","10","0.80","5867.87"
"Wales","1900","15","0.79","6191.29"
"Lowell","1888","15","0.79","7750.49"
"Cherokee Village","1895","15","0.79","5868.64"
"Brooklin","1273","10","0.79","6193.13"
"Pueblo","1259","10","0.79","6864.51"
"Veedersburg","1265","10","0.79","3655.42"
"Grand Ridge","1263","10","0.79","7591.67"
"Grantham","1270","10","0.79","5348.36"
"Brinson","1269","10","0.79","4677.91"
"Halstad","1265","10","0.79","2829.11"
"Bethel Springs","1268","10","0.79","6408.12"
"Syracuse","632","5","0.79","1697.88"
"Putnam","632","5","0.79","1918.78"
"Clutier","632","5","0.79","2311.84"
"Mesa","2555","20","0.78","11711.42"
"Bristol","1912","15","0.78","5459.44"
"Lolita","1920","15","0.78","7712.59"
"New Ellenton","1922","15","0.78","6861.17"
"Cass","1914","15","0.78","7952.37"
"Jefferson","1916","15","0.78","7097.64"
"Watertown","1290","10","0.78","6048.31"
"Haynes","1282","10","0.78","5995.47"
"Norwich","1285","10","0.78","5616.40"
"Easton","1277","10","0.78","4120.67"
"Winslow","1287","10","0.78","5371.07"
"Port Charlotte","1282","10","0.78","6282.00"
"Haines City","1286","10","0.78","4443.01"
"Dongola","1279","10","0.78","6359.78"
"Boonton","1286","10","0.78","5270.96"
"Parkers Lake","1280","10","0.78","6872.97"
"Bolivar","1279","10","0.78","8202.95"
"Lamy","645","5","0.78","2740.58"
"Cardwell","638","5","0.78","2293.63"
"Chester","1301","10","0.77","4856.05"
"Allentown","4450","34","0.76","18176.89"
"Gardiner","1877","14","0.75","6358.27"
"Clarksville","1867","14","0.75","3806.33"
"Detroit","4470","33","0.74","15835.68"
"Turner","1890","14","0.74","6863.58"
"Jermyn","1899","14","0.74","3524.75"
"Fullerton","1894","14","0.74","7020.29"
"Bonfield","1904","14","0.74","8585.69"
"Comfort","1900","14","0.74","8536.86"
"Viola","1911","14","0.73","6838.89"
"Matthews","1915","14","0.73","6170.21"
"Dieterich","1917","14","0.73","6822.16"
"Tamaroa","1240","9","0.73","3393.40"
"Parks","1255","9","0.72","5359.06"
"Churubusco","1249","9","0.72","4288.47"
"Oran","1245","9","0.72","3057.76"
"Carlisle","1255","9","0.72","5268.31"
"San Jose","2540","18","0.71","9118.38"
"Christine","1273","9","0.71","2964.22"
"Alder","1269","9","0.71","4847.68"
"Honokaa","1269","9","0.71","6164.72"
"Tickfaw","1274","9","0.71","4696.62"
"Gregory","1274","9","0.71","5728.87"
"Alva","1273","9","0.71","4845.44"
"Pikesville","1273","9","0.71","6259.01"
"Texarkana","1271","9","0.71","3064.81"
"Shrewsbury","1268","9","0.71","4271.17"
"Cross Plains","1267","9","0.71","6420.52"
"Washington","4457","31","0.70","16280.00"
"Blairsden-Graeagle","1285","9","0.70","1959.66"
"Glen Rock","1280","9","0.70","4945.62"
"Beasley","1286","9","0.70","5511.13"
"Emporium","1281","9","0.70","4444.36"
"Cape Coral","1281","9","0.70","4815.73"
"Ashfield","1280","9","0.70","4860.93"
"Mendon","1280","9","0.70","3312.51"
"Campbell","1882","13","0.69","7909.08"
"Coyle","1892","13","0.69","4461.08"
"Port Ewen","1874","13","0.69","9529.37"
"Newberg","1304","9","0.69","4718.91"
"Eldridge","1903","13","0.68","6000.89"
"Big Creek","1903","13","0.68","7399.56"
"Lowville","1916","13","0.68","5143.52"
"Grenada","1910","13","0.68","9581.10"
"Eugene","1875","12","0.64","6007.56"
"Westhampton Beach","1246","8","0.64","639.41"
"Rosewood","627","4","0.64","1906.01"
"Rochester","626","4","0.64","1659.93"
"Meadville","3173","20","0.63","9729.83"
"Glendale","3168","20","0.63","10318.07"
"Mc Veytown","2541","16","0.63","8769.69"
"Holcomb","2555","16","0.63","2955.15"
"Oxford","1915","12","0.63","8626.29"
"Mounds","1920","12","0.63","6360.86"
"Cazenovia","1920","12","0.63","5208.63"
"Grand Junction","1908","12","0.63","4934.96"
"Payson","1899","12","0.63","5530.39"
"Fields Landing","1898","12","0.63","5743.45"
"Corsica","1902","12","0.63","7158.81"
"Columbia","1895","12","0.63","8520.49"
"American Fork","1271","8","0.63","2361.62"
"Hedrick","1265","8","0.63","5230.70"
"Tampa","1261","8","0.63","5362.37"
"Llano","1278","8","0.63","4069.01"
"Miamisburg","1262","8","0.63","3695.62"
"Milner","1260","8","0.63","6317.91"
"Canton","1270","8","0.63","2894.71"
"Goreville","1271","8","0.63","4085.26"
"Lakeview","1279","8","0.63","4119.07"
"Mountain Center","1263","8","0.63","1985.79"
"Center Tuftonboro","1273","8","0.63","3247.30"
"Saint Louis","1278","8","0.63","4755.19"
"Oklahoma City","1266","8","0.63","5126.00"
"Olmsted","1269","8","0.63","3407.92"
"Tiptonville","1278","8","0.63","3942.02"
"Cuthbert","1264","8","0.63","4942.19"
"Powell Butte","638","4","0.63","3018.40"
"Early","633","4","0.63","1782.08"
"Afton","2566","16","0.62","7971.40"
"Zavalla","1928","12","0.62","6601.45"
"North Augusta","1930","12","0.62","7500.18"
"Saint James City","1932","12","0.62","8865.21"
"West Decatur","1285","8","0.62","3899.05"
"Crownpoint","1281","8","0.62","3893.43"
"Brownville","2517","15","0.60","4949.13"
"Arcadia","5092","30","0.59","15940.49"
"Catawba","2530","15","0.59","9926.97"
"Tyler","2542","15","0.59","5060.65"
"Plymouth","2547","15","0.59","4691.03"
"Ogdensburg","2558","15","0.59","7567.83"
"Carlotta","2530","15","0.59","8601.33"
"Mound City","2563","15","0.59","8453.42"
"Scotia","2540","15","0.59","5147.02"
"Mansfield","1862","11","0.59","6065.07"
"Minneapolis","1879","11","0.59","6900.30"
"Warren","5700","33","0.58","18221.79"
"Plantersville","2596","15","0.58","5121.19"
"Parsonsfield","2578","15","0.58","9454.74"
"Norman Park","1902","11","0.58","7670.53"
"Deadwood","1895","11","0.58","3972.17"
"Montandon","1905","11","0.58","3570.90"
"Jelm","1890","11","0.58","3891.42"
"West Henrietta","1901","11","0.58","8013.50"
"Shelter Island","1896","11","0.58","4589.09"
"New Waverly","1881","11","0.58","7598.25"
"Laguna Hills","1906","11","0.58","8137.45"
"Luray","1886","11","0.58","7404.52"
"Center Point","1882","11","0.58","2938.35"
"Independence","1898","11","0.58","3367.34"
"Harborcreek","1909","11","0.58","6052.11"
"Howells","1902","11","0.58","5759.93"
"Big Indian","1895","11","0.58","5147.39"
"Naples","5063","29","0.57","17220.43"
"Wichita","3183","18","0.57","8113.20"
"Lamberton","1915","11","0.57","7136.92"
"Daly City","1920","11","0.57","5107.95"
"Mount Perry","1930","11","0.57","6469.06"
"Purmela","1933","11","0.57","7604.11"
"Orangeburg","1929","11","0.57","3897.54"
"Edinburg","1237","7","0.57","3894.46"
"Meredith","2502","14","0.56","7726.90"
"Garrattsville","2498","14","0.56","9093.35"
"West Monroe","1257","7","0.56","3170.84"
"Smith River","1241","7","0.56","3780.60"
"Barnard","1246","7","0.56","3584.38"
"Nazareth","2525","14","0.55","6292.69"
"Atlantic","2528","14","0.55","7496.38"
"O Brien","2532","14","0.55","6066.82"
"Nobleboro","2550","14","0.55","5052.21"
"Corriganville","2549","14","0.55","4682.67"
"Kirby","2563","14","0.55","7495.78"
"Shippingport","2541","14","0.55","6418.21"
"Winter","1269","7","0.55","2795.66"
"Harwood","1273","7","0.55","4198.63"
"Pembroke","1262","7","0.55","4132.68"
"Schaumburg","1273","7","0.55","2525.00"
"Pelham","1265","7","0.55","3254.13"
"Gibsonville","1264","7","0.55","4076.00"
"Auburn","1262","7","0.55","4539.77"
"Rockwood","1283","7","0.55","3824.66"
"Montgomery","1266","7","0.55","3403.98"
"Minnesota Lake","1279","7","0.55","2438.86"
"Bay City","1265","7","0.55","4795.46"
"Stillwater","1267","7","0.55","2861.50"
"Falls City","1269","7","0.55","3409.86"
"Lagrange","1302","7","0.54","1309.99"
"Titusville","1903","10","0.53","6339.76"
"Manchester","1877","10","0.53","4097.83"
"Stirling","1901","10","0.53","3544.36"
"Smackover","1881","10","0.53","5110.31"
"Cadiz","1897","10","0.53","7663.82"
"Oak Hill","1886","10","0.53","6032.76"
"Birmingham","6922","36","0.52","20805.75"
"Acworth","2517","13","0.52","9221.61"
"Mount Morris","1906","10","0.52","6694.69"
"Stephensport","1928","10","0.52","6430.92"
"Ruidoso","1909","10","0.52","4590.67"
"Moulton","1911","10","0.52","5410.20"
"Hopkins","1908","10","0.52","5756.43"
"Eureka","1923","10","0.52","5567.92"
"Milford","3163","16","0.51","10277.79"
"Tyaskin","2571","13","0.51","7620.02"
"Lakeport","2546","13","0.51","2466.89"
"Cisco","2549","13","0.51","8893.06"
"Doe Hill","2552","13","0.51","7262.56"
"Shenandoah Junction","2539","13","0.51","10115.21"
"Oakland","3185","16","0.50","9087.45"
"Lake Jackson","3188","16","0.50","9379.66"
"Diamond","3183","16","0.50","7660.86"
"Clarks Mills","3777","18","0.48","10956.00"
"Leonard","3150","15","0.48","4927.90"
"Tekoa","3127","15","0.48","7626.68"
"Avoca","2524","12","0.48","5230.63"
"Saxon","2514","12","0.48","4207.60"
"Mount Saint Joseph","2524","12","0.48","6336.12"
"Bridger","2509","12","0.48","7161.46"
"North Prairie","2516","12","0.48","5819.12"
"Paulding","1874","9","0.48","6168.79"
"Chester Heights","1892","9","0.48","6200.42"
"Bethel","621","3","0.48","369.26"
"Vancouver","620","3","0.48","2369.41"
"Lakeland","4454","21","0.47","13211.61"
"Fort Washakie","4449","21","0.47","9019.73"
"Gadsden","3816","18","0.47","9808.12"
"Mulberry Grove","3175","15","0.47","5470.84"
"Stanchfield","3190","15","0.47","10705.82"
"Bolton","2553","12","0.47","6599.07"
"Lohrville","2557","12","0.47","7130.91"
"Creedmoor","2560","12","0.47","5432.40"
"Rock Tavern","2530","12","0.47","7217.67"
"Oconto Falls","2536","12","0.47","8058.47"
"Altona","2533","12","0.47","6566.55"
"Southfield","2560","12","0.47","5412.95"
"Clayton","2532","12","0.47","4841.57"
"Farmington","1908","9","0.47","5586.08"
"West Harrison","1895","9","0.47","5656.28"
"Waupaca","1911","9","0.47","6702.64"
"Moab","1922","9","0.47","3830.84"
"Ozawkie","1900","9","0.47","6177.50"
"Beaver Falls","1917","9","0.47","4404.16"
"Whigham","1926","9","0.47","5481.48"
"Santa Monica","1904","9","0.47","5956.41"
"North Judson","1905","9","0.47","5294.41"
"Cedar","1898","9","0.47","6444.70"
"Vero Beach","1910","9","0.47","2436.56"
"East Andover","1916","9","0.47","4851.28"
"Joliet","1898","9","0.47","3807.98"
"West Columbia","1902","9","0.47","7431.56"
"Harrington Park","1924","9","0.47","4992.57"
"Kissee Mills","1902","9","0.47","5018.07"
"South Londonderry","1280","6","0.47","3507.42"
"Colton","1272","6","0.47","3430.48"
"North Tonawanda","1264","6","0.47","2741.07"
"Roseland","1274","6","0.47","3358.30"
"Odessa","636","3","0.47","815.42"
"Bonita Springs","640","3","0.47","2207.89"
"Highland","1939","9","0.46","5218.00"
"Huntsville","4407","20","0.45","10652.73"
"Hannawa Falls","3137","14","0.45","5076.00"
"Smiths Grove","3145","14","0.45","5839.30"
"Oolitic","3146","14","0.45","3974.30"
"Rock Springs","3174","14","0.44","6349.68"
"Red River","3152","14","0.44","7101.53"
"Mobile","3203","14","0.44","5043.71"
"Lawn","2486","11","0.44","3760.71"
"Westerville","2515","11","0.44","5493.82"
"Battle Creek","2476","11","0.44","5734.32"
"Falmouth","2526","11","0.44","7138.69"
"Keisterville","2528","11","0.44","3899.88"
"Falconer","2527","11","0.44","7840.88"
"High Rolls Mountain Park","2524","11","0.44","7290.01"
"Houston","5086","22","0.43","12979.28"
"Moravian Falls","2555","11","0.43","4499.14"
"Sontag","2541","11","0.43","5893.76"
"Basye","2538","11","0.43","4328.47"
"Wilton","2549","11","0.43","5895.06"
"Saint Paul","2540","11","0.43","7052.84"
"Wilmette","2564","11","0.43","7043.26"
"Fiddletown","2530","11","0.43","7518.44"
"Washington Court House","1877","8","0.43","4388.40"
"Sula","1879","8","0.43","3828.19"
"Spring Church","1861","8","0.43","5482.19"
"Great Mills","1868","8","0.43","5277.95"
"Delhi","1856","8","0.43","3242.89"
"Keller","1880","8","0.43","5101.27"
"Darien","1878","8","0.43","4249.74"
"Irwinton","1880","8","0.43","3139.35"
"Bradley","3829","16","0.42","6832.72"
"Bowdoin","3826","16","0.42","10454.66"
"Walnut Ridge","3810","16","0.42","8243.35"
"Tower Hill","1915","8","0.42","4225.58"
"Hawthorne","1903","8","0.42","4854.10"
"Quanah","1885","8","0.42","4698.57"
"Colorado Springs","1912","8","0.42","2276.61"
"Bailey","1914","8","0.42","3718.71"
"Belmond","1896","8","0.42","3714.04"
"Collettsville","1905","8","0.42","6088.33"
"Timberville","1909","8","0.42","4569.93"
"Elizabethtown","1883","8","0.42","6300.08"
"Ollie","1902","8","0.42","5095.32"
"Brandon","5087","21","0.41","8546.41"
"Alpharetta","3158","13","0.41","6063.58"
"Utica","6319","25","0.40","10276.85"
"Westport","3741","15","0.40","6022.12"
"Sutherland","3786","15","0.40","6990.62"
"Summerfield","2510","10","0.40","3901.07"
"Enola","2528","10","0.40","4061.03"
"Holliday","2515","10","0.40","7461.66"
"Barnstable","2508","10","0.40","7511.28"
"Duncan","1265","5","0.40","1917.18"
"San Antonio","6334","25","0.39","14536.75"
"Lomax","3842","15","0.39","4563.27"
"Reno","3820","15","0.39","6776.38"
"Hinesburg","3813","15","0.39","7561.98"
"Cottekill","3807","15","0.39","6378.95"
"Clarinda","2590","10","0.39","4782.13"
"Woodville","2542","10","0.39","2194.65"
"Tomales","2534","10","0.39","6695.12"
"Tryon","1293","5","0.39","1983.58"
"Oriskany Falls","1267","5","0.39","1263.51"
"Allenhurst","1285","5","0.39","2982.77"
"Marion","1278","5","0.39","3310.74"
"Maysville","1275","5","0.39","2417.78"
"Knoxville","3157","12","0.38","4541.17"
"Ruckersville","3155","12","0.38","5730.97"
"Lawrence","3145","12","0.38","8087.24"
"Fort Myers","3166","12","0.38","5092.86"
"Muskegon","3168","12","0.38","5639.58"
"Fayetteville","3196","12","0.38","7146.52"
"Hancock","3154","12","0.38","5690.89"
"Paauilo","1860","7","0.38","3926.79"
"Lahoma","4375","16","0.37","9394.70"
"De Witt","3808","14","0.37","5773.61"
"Plainfield","3815","14","0.37","4642.89"
"River","1882","7","0.37","4853.63"
"Powell","1878","7","0.37","4882.86"
"Sturgis","1901","7","0.37","5607.92"
"Gretna","1906","7","0.37","5128.99"
"Creola","1908","7","0.37","1788.26"
"Amanda","1917","7","0.37","1923.92"
"Greenview","1890","7","0.37","3869.65"
"Varnell","1897","7","0.37","4484.05"
"Lake Oswego","1888","7","0.37","1723.41"
"Newark Valley","1880","7","0.37","5493.76"
"Bay Minette","1901","7","0.37","4329.59"
"Burke","1914","7","0.37","5638.03"
"Ford","1905","7","0.37","4133.00"
"Laredo","1880","7","0.37","2114.72"
"Sebring","3841","14","0.36","6450.28"
"Monmouth Beach","2520","9","0.36","8282.32"
"Cokeburg","2521","9","0.36","5590.49"
"Lonsdale","2535","9","0.36","6225.97"
"Harper","2535","9","0.36","5995.19"
"Sheffield","2525","9","0.36","2329.63"
"Coffeeville","2516","9","0.36","4573.82"
"Grant","2488","9","0.36","3833.09"
"Kansas City","2534","9","0.36","3408.86"
"Mifflin","2531","9","0.36","5940.51"
"Greendale","1932","7","0.36","1693.57"
"Uledi","3768","13","0.35","7135.69"
"Issaquah","3155","11","0.35","4493.65"
"Key West","3174","11","0.35","7008.65"
"Armagh","3186","11","0.35","6004.24"
"Winfield","3146","11","0.35","5305.88"
"Egan","2559","9","0.35","3908.81"
"Schaefferstown","2537","9","0.35","8074.90"
"Indianapolis","5072","17","0.34","11002.39"
"Andrews","4460","15","0.34","4316.27"
"Moorhead","3782","13","0.34","7773.17"
"San Diego","3215","11","0.34","6329.18"
"Cleveland","5685","18","0.32","10797.88"
"Thrall","3765","12","0.32","5685.68"
"Roma","3771","12","0.32","2958.76"
"Thompson","3808","12","0.32","5309.21"
"Edmond","3112","10","0.32","5033.75"
"Johns Island","3148","10","0.32","4475.35"
"Romulus","3155","10","0.32","5644.71"
"Murrayville","3127","10","0.32","6546.80"
"Bagley","3170","10","0.32","3251.93"
"Manderson","2502","8","0.32","4986.70"
"Roosevelt","2500","8","0.32","4335.02"
"Cascade Locks","2524","8","0.32","1912.21"
"Arnold","2516","8","0.32","4903.00"
"Pointe Aux Pins","2486","8","0.32","2335.53"
"Hooper","2534","8","0.32","4004.33"
"Harrodsburg","2529","8","0.32","7074.00"
"Bronx","2498","8","0.32","3588.35"
