"merchant","total_transactions","fraud_count"
"fraud_Prohaska-Murray","3273","22"
"fraud_Zemlak Group","1620","21"
"fraud_Schmitt Ltd","1581","21"
"fraud_Barrows PLC","2820","21"
"fraud_Kuphal-Bartoletti","1586","21"
"fraud_Nitzsche, Kessler and Wolff","2837","21"
"fraud_Hermann and Sons","2912","21"
"fraud_Jaskolski-Vandervort","1538","20"
"fraud_Lebsack and Sons","1639","20"
"fraud_Watsica, Haag and Considine","2901","20"
"fraud_Turner and Sons","2896","20"
"fraud_Kerluke Inc","1601","20"
"fraud_Huel-Langworth","1605","20"
"fraud_Dooley Inc","2835","20"
"fraud_Klocko LLC","1598","20"
"fraud_Block-Parisian","1610","20"
"fraud_Pacocha-Bauch","2905","20"
"fraud_Bahringer, Schoen and Corkery","2893","20"
"fraud_Brown PLC","1502","20"
"fraud_Mayert Group","2900","19"
"fraud_Jenkins, Hauck and Friesen","3278","19"
"fraud_Ruecker, Beer and Collier","2370","19"
"fraud_Welch Inc","1596","19"
"fraud_Parisian, Schiller and Altenwerth","1575","19"
"fraud_Haley, Jewess and Bechtelar","2882","19"
"fraud_Ferry, Lynch and Kautzer","1586","19"
"fraud_Botsford Ltd","2884","19"
"fraud_Flatley-Durgan","1522","19"
"fraud_Douglas, Schneider and Turner","2843","19"
"fraud_Bernier, Volkman and Hoeger","1523","19"
"fraud_Swaniawski, Lowe and Robel","2945","18"
"fraud_Corwin-Gorczany","1614","18"
"fraud_Kerluke, Considine and Macejkovic","1533","18"
"fraud_Jewess LLC","2923","18"
"fraud_Denesik and Sons","2873","18"
"fraud_Jacobi and Sons","2891","18"
"fraud_Schuppe, Nolan and Hoeger","2954","18"
"fraud_Kuphal-Predovic","1560","18"
"fraud_Lynch Ltd","2842","18"
"fraud_Torphy-Goyette","2840","17"
"fraud_Huel Ltd","1655","17"
"fraud_Pfeffer and Sons","2873","17"
"fraud_Hayes, Marquardt and Dibbert","1555","17"
"fraud_Heller-Langosh","3188","16"
"fraud_Cummerata-Jones","3303","16"
"fraud_Ruecker Group","1572","16"
"fraud_Bernhard Inc","3210","16"
"fraud_Tillman, Dickinson and Labadie","3231","16"
"fraud_Mohr Inc","2896","16"
"fraud_Hickle Group","2889","16"
"fraud_Christiansen, Goyette and Schamberger","3266","16"
"fraud_Schmitt Inc","3238","16"
"fraud_Kris-Padberg","2879","16"
"fraud_Koss and Sons","3252","16"
"fraud_Eichmann, Bogan and Rodriguez","3307","16"
"fraud_Kunde-Sanford","1577","16"
"fraud_Baumbach, Strosin and Nicolas","2841","16"
"fraud_Stehr, Jewess and Schimmel","1532","16"
"fraud_Kerluke PLC","1542","15"
"fraud_Greenholt, Jacobi and Gleason","3307","15"
"fraud_Roob, Conn and Tremblay","2878","15"
"fraud_Stroman, Hudson and Erdman","3340","15"
"fraud_Erdman-Kertzmann","3303","15"
"fraud_Dooley-Thompson","1540","15"
"fraud_Reilly, Heaney and Cole","3187","15"
"fraud_Pouros-Conroy","2915","15"
"fraud_Goyette, Howell and Collier","2828","15"
"fraud_Lehner, Mosciski and King","1572","15"
"fraud_Kihn Inc","2921","15"
"fraud_Pagac LLC","2858","15"
"fraud_Willms, Kris and Bergnaum","2983","14"
"fraud_Lesch Ltd","2845","14"
"fraud_Schaefer, Maggio and Daugherty","3192","14"
"fraud_Johnson, Runolfsdottir and Mayer","1564","14"
"fraud_Kutch LLC","3280","14"
"fraud_Kuvalis Ltd","3201","14"
"fraud_Bartoletti-Wunsch","3322","14"
"fraud_Weimann, Kuhic and Beahan","2888","13"
"fraud_Marks Inc","3180","13"
"fraud_Bins-Rice","3222","13"
"fraud_Corwin-Collins","3349","13"
"fraud_Friesen-Stamm","3274","13"
"fraud_Friesen Inc","2837","13"
"fraud_Harber Inc","3207","13"
"fraud_Huels-Nolan","3192","13"
"fraud_Jones, Sawayn and Romaguera","1555","13"
"fraud_Okuneva, Schneider and Rau","2864","13"
"fraud_Mraz-Herzog","3301","12"
"fraud_Connelly, Reichert and Fritsch","3278","12"
"fraud_Cummings LLC","3212","12"
"fraud_Schaefer, McGlynn and Bosco","3207","12"
"fraud_Robel, Cummerata and Prosacco","3222","12"
"fraud_Harris Inc","3225","12"
"fraud_Kovacek Ltd","1011","12"
"fraud_Brekke and Sons","3279","12"
"fraud_Bins, Balistreri and Beatty","2880","11"
"fraud_Luettgen PLC","3204","11"
"fraud_Ledner-Pfannerstill","3256","11"
"fraud_Gislason Group","3079","11"
"fraud_Lind, Huel and McClure","3246","11"
"fraud_Olson, Becker and Koch","3316","11"
"fraud_Jast-McDermott","2777","11"
"fraud_Rodriguez Group","3335","11"
"fraud_Hudson-Grady","2836","11"
"fraud_Hamill-Daugherty","1529","11"
"fraud_Emard Inc","3369","11"
"fraud_Daugherty, Pouros and Beahan","2896","10"
"fraud_Stark-Batz","2358","10"
"fraud_Dach-Nader","1540","10"
"fraud_Friesen-D'Amore","3159","10"
"fraud_Fahey Inc","2738","10"
"fraud_Kling Inc","3351","10"
"fraud_Morissette PLC","2922","10"
"fraud_Hilpert-Conroy","2915","10"
"fraud_Spencer-Runolfsson","1970","10"
"fraud_Swift, Bradtke and Marquardt","1115","10"
"fraud_Streich, Hansen and Veum","3259","10"
"fraud_Bahringer, Bergnaum and Quitzon","3077","9"
"fraud_Crooks and Sons","2277","9"
"fraud_Schiller, Blanda and Johnson","3078","9"
"fraud_Halvorson Group","1994","9"
"fraud_Huels-Hahn","3308","9"
"fraud_Metz-Boehm","2865","9"
"fraud_Streich, Rolfson and Wilderman","2757","9"
"fraud_Larkin Ltd","2754","9"
"fraud_Kutch, Hermiston and Farrell","3203","9"
"fraud_Bernhard, Grant and Langworth","2866","9"
"fraud_Ratke and Sons","2090","8"
"fraud_Gutmann-Upton","1908","8"
"fraud_Abshire PLC","2358","8"
"fraud_Homenick LLC","2270","8"
"fraud_Langworth LLC","2263","8"
"fraud_Brown Inc","2736","8"
"fraud_Zieme, Bode and Dooley","3232","8"
"fraud_Spencer PLC","2325","8"
"fraud_Stiedemann Inc","1955","8"
"fraud_Haley Group","2011","8"
"fraud_Renner Ltd","3114","8"
"fraud_Altenwerth-Kilback","3096","8"
"fraud_Windler, Goodwin and Kovacek","3018","8"
"fraud_Reynolds-Schinner","1934","8"
"fraud_Berge LLC","3273","8"
"fraud_Herman Inc","1945","8"
"fraud_Ullrich Ltd","2804","8"
"fraud_Greenfelder, Bartoletti and Davis","1606","8"
"fraud_Dare, Casper and Bartoletti","2719","8"
"fraud_Bode-Schuster","2814","8"
"fraud_Hills-Boyer","2333","8"
"fraud_Raynor, Reinger and Hagenes","3258","8"
"fraud_Turner, Ruecker and Parisian","1964","8"
"fraud_Raynor, Feest and Miller","3207","8"
"fraud_Boehm, Predovic and Reinger","1949","8"
"fraud_Romaguera, Wehner and Tromp","2876","7"
"fraud_Runte, Green and Emard","2100","7"
"fraud_Gottlieb-Hansen","2293","7"
"fraud_Gibson-Deckow","2300","7"
"fraud_Schimmel-Olson","2737","7"
"fraud_Skiles LLC","3014","7"
"fraud_Dickinson Ltd","4294","7"
"fraud_Dickinson-Rempel","1949","7"
"fraud_Dibbert-Green","2306","7"
"fraud_Yost, Block and Koepp","2028","7"
"fraud_Cremin, Hamill and Reichel","1933","7"
"fraud_Kassulke Inc","2234","7"
"fraud_Swift PLC","2828","7"
"fraud_Terry Ltd","3080","7"
"fraud_Thiel PLC","1971","7"
"fraud_Bruen-Yost","1991","7"
"fraud_Torp-Labadie","3219","7"
"fraud_Nienow PLC","2340","7"
"fraud_Bradtke, Torp and Bahringer","2238","7"
"fraud_Botsford PLC","2999","7"
"fraud_Kling, Howe and Schneider","3036","7"
"fraud_Walter, Hettinger and Kessler","2328","7"
"fraud_Koss, Hansen and Lueilwitz","2928","7"
"fraud_Wilkinson Ltd","2323","7"
"fraud_Beer-Jast","2881","7"
"fraud_Wisozk and Sons","1948","7"
"fraud_Little Ltd","2849","7"
"fraud_Leffler-Goldner","2262","7"
"fraud_Ledner, Hartmann and Feest","2120","7"
"fraud_Lynch-Wisozk","3076","7"
"fraud_Graham, Hegmann and Hammes","2312","6"
"fraud_Nicolas, Hills and McGlynn","2429","6"
"fraud_Donnelly LLC","2301","6"
"fraud_Gaylord-Powlowski","3044","6"
"fraud_Kuhn Group","2216","6"
"fraud_Botsford and Sons","3084","6"
"fraud_Hoppe-Parisian","2899","6"
"fraud_Bogisich-Weimann","2801","6"
"fraud_Shanahan-Lehner","2242","6"
"fraud_Effertz LLC","2261","6"
"fraud_Effertz, Welch and Schowalter","2297","6"
"fraud_Reichel Inc","2365","6"
"fraud_Morissette LLC","2308","6"
"fraud_Schuppe LLC","2360","6"
"fraud_Harris Group","2287","6"
"fraud_Bahringer, Osinski and Block","2241","6"
"fraud_Erdman-Ebert","2266","6"
"fraud_Bins-Howell","2220","6"
"fraud_Kutch, Steuber and Gerhold","2330","6"
"fraud_Schoen Ltd","2869","6"
"fraud_Weimann-Lockman","2865","6"
"fraud_Konopelski, Schneider and Hartmann","2186","6"
"fraud_Schoen-Quigley","2799","6"
"fraud_Ziemann-Waters","2091","6"
"fraud_Larson-Moen","2312","6"
"fraud_Reilly and Sons","2110","6"
"fraud_Hammes-Beatty","2720","6"
"fraud_Ferry, Reichel and DuBuque","1198","6"
"fraud_Wintheiser, Dietrich and Schimmel","2033","6"
"fraud_Daugherty LLC","2765","6"
"fraud_Sporer Inc","3200","6"
"fraud_Balistreri-Nader","1999","6"
"fraud_Kutch-Ferry","2938","6"
"fraud_Schaefer Ltd","2848","6"
"fraud_Wuckert, Wintheiser and Friesen","3040","6"
"fraud_Cormier, Stracke and Thiel","2303","6"
"fraud_Keeling-Crist","1966","6"
"fraud_Pouros, Walker and Spencer","2847","6"
"fraud_Powlowski-Weimann","2264","6"
"fraud_Wiza LLC","1996","6"
"fraud_Sporer-Keebler","2251","6"
"fraud_Ruecker-Mayert","2831","6"
"fraud_Terry, Johns and Bins","1991","6"
"fraud_Heaney-Marquardt","2331","6"
"fraud_McDermott, Osinski and Morar","3085","6"
"fraud_Lehner, Reichert and Mills","1998","6"
"fraud_Hahn, Bahringer and McLaughlin","2243","6"
"fraud_Howe PLC","2240","6"
"fraud_Abbott-Steuber","2191","6"
"fraud_Roberts, Daniel and Macejkovic","2748","5"
"fraud_Ankunding-Carroll","1010","5"
"fraud_Auer LLC","2348","5"
"fraud_Bahringer-Streich","2207","5"
"fraud_Bartoletti and Sons","2279","5"
"fraud_Barton LLC","2833","5"
"fraud_Baumbach Ltd","2251","5"
"fraud_Bernier, Streich and Jewess","1184","5"
"fraud_Brown-Greenholt","2374","5"
"fraud_Buckridge PLC","1978","5"
"fraud_Champlin, Rolfson and Connelly","981","5"
"fraud_Christiansen-Gusikowski","2014","5"
"fraud_Conroy, Balistreri and Gorczany","2125","5"
"fraud_Cruickshank-Mills","2314","5"
"fraud_Dare-Marvin","2242","5"
"fraud_Dare, Fritsch and Zboncak","2087","5"
"fraud_Dibbert and Sons","2368","5"
"fraud_Douglas-White","2355","5"
"fraud_Eichmann, Hayes and Treutel","1028","5"
"fraud_Erdman-Schaden","2215","5"
"fraud_Feil, Hilpert and Koss","2266","5"
"fraud_Frami Group","2338","5"
"fraud_Gottlieb Group","2820","5"
"fraud_Gutmann Ltd","1141","5"
"fraud_Haag-Blanda","2261","5"
"fraud_Hermann-Gaylord","2043","5"
"fraud_Jacobi Inc","2069","5"
"fraud_Kemmer-Buckridge","2000","5"
"fraud_Kirlin and Sons","2203","5"
"fraud_Kozey-Kuhlman","2240","5"
"fraud_Kozey-McDermott","978","5"
"fraud_Larkin, Stracke and Greenfelder","2269","5"
"fraud_Lemke and Sons","1004","5"
"fraud_Lind-Buckridge","2263","5"
"fraud_Marvin-Lind","2233","5"
"fraud_Monahan, Bogisich and Ledner","1914","5"
"fraud_Moore, Williamson and Emmerich","3026","5"
"fraud_Morissette-Schaefer","2269","5"
"fraud_Mosciski Group","991","5"
"fraud_Murray Ltd","1142","5"
"fraud_Nienow, Ankunding and Collier","1918","5"
"fraud_Nolan-Williamson","2710","5"
"fraud_Parker-Kunde","2261","5"
"fraud_Reichel LLC","2223","5"
"fraud_Ritchie, Oberbrunner and Cremin","1026","5"
"fraud_Roberts, Ryan and Smith","2233","5"
"fraud_Rolfson-Kunde","2227","5"
"fraud_Schmeler-Howe","2236","5"
"fraud_Schneider, Hayes and Nikolaus","2249","5"
"fraud_Schroeder, Hauck and Treutel","2280","5"
"fraud_Shields-Wunsch","2179","5"
"fraud_Shields Inc","1114","5"
"fraud_Spinka-Welch","1132","5"
"fraud_Stamm-Rodriguez","2053","5"
"fraud_Thompson-Gleason","2096","5"
"fraud_Torp-Lemke","2016","5"
"fraud_Towne LLC","1926","5"
"fraud_Tromp Group","982","5"
"fraud_Turner, Ziemann and Lehner","2205","5"
"fraud_VonRueden Group","1082","5"
"fraud_Waelchi Inc","2820","5"
"fraud_Watsica LLC","2184","5"
"fraud_Welch, Rath and Koepp","2351","5"
"fraud_Witting, Beer and Ernser","2994","5"
"fraud_Yost-Rogahn","2323","5"
"fraud_Yost, Schamberger and Windler","2837","5"
"fraud_Zboncak Ltd","2340","5"
"fraud_Nienow, Barrows and Romaguera","2333","4"
"fraud_Dare-Gibson","2068","4"
"fraud_Adams, Kovacek and Kuhlman","1172","4"
"fraud_Daugherty-Thompson","2295","4"
"fraud_Harris, Gusikowski and Heaney","1113","4"
"fraud_Spinka Inc","1160","4"
"fraud_Kutch-Wilderman","3040","4"
"fraud_Bauch-Blanda","2317","4"
"fraud_Beier and Sons","3009","4"
"fraud_Haley, Batz and Auer","2191","4"
"fraud_Roberts-Beahan","1920","4"
"fraud_Abbott-Rogahn","2295","4"
"fraud_Smith-Stokes","1997","4"
"fraud_O'Connell-Ullrich","3016","4"
"fraud_White and Sons","3142","4"
"fraud_Hagenes, Hermann and Stroman","1031","4"
"fraud_Bednar PLC","2693","4"
"fraud_Eichmann-Russel","1909","4"
"fraud_O'Hara-Wilderman","2284","4"
"fraud_Schuppe-Schuppe","2241","4"
"fraud_Emmerich-Luettgen","1102","4"
"fraud_Emmerich-Rau","2144","4"
"fraud_Roob LLC","1166","4"
"fraud_Schoen, Nienow and Bauch","2242","4"
"fraud_McGlynn-Jaskolski","1976","4"
"fraud_Grimes LLC","2358","4"
"fraud_O'Keefe-Wisoky","2212","4"
"fraud_Ernser-Feest","3051","4"
"fraud_Ernser-Lynch","2270","4"
"fraud_Runolfsdottir, Mueller and Hand","2365","4"
"fraud_O'Reilly, Mohr and Purdy","3105","4"
"fraud_Runte-Mohr","2313","4"
"fraud_Fadel, Mertz and Rippin","2339","4"
"fraud_Kling-Ernser","2330","4"
"fraud_Weber, Thiel and Hammes","2769","4"
"fraud_Zulauf LLC","2283","4"
"fraud_Gleason and Sons","2796","4"
"fraud_Flatley Group","2056","4"
"fraud_Schiller Ltd","2297","4"
"fraud_Monahan-Morar","2196","4"
"fraud_Kautzer and Sons","2307","4"
"fraud_Johnston, Nikolaus and Maggio","1121","4"
"fraud_Waelchi-Wolf","2725","4"
"fraud_McDermott-Rice","2008","4"
"fraud_Klein Group","2307","4"
"fraud_Padberg-Sauer","2977","4"
"fraud_Block-Hauck","1071","4"
"fraud_Upton PLC","2326","4"
"fraud_Abernathy and Sons","2186","4"
"fraud_Turcotte, McKenzie and Koss","2359","4"
"fraud_Will Ltd","2278","4"
"fraud_Towne, Walker and Borer","1142","4"
"fraud_Breitenberg-Hermiston","2732","4"
"fraud_Jaskolski-Dibbert","1123","4"
"fraud_Adams-Barrows","2194","4"
"fraud_Wuckert-Walter","1116","4"
"fraud_Berge-Ullrich","2992","4"
"fraud_Cassin-Harvey","1128","4"
"fraud_Hyatt, Russel and Gleichner","2222","4"
"fraud_Kilback Group","2261","4"
"fraud_Howe Ltd","2069","4"
"fraud_Hoppe, Harris and Bednar","2295","4"
"fraud_Champlin-Casper","3040","4"
"fraud_Prosacco LLC","2266","4"
"fraud_Champlin and Sons","2896","4"
"fraud_Kutch-Hegmann","1178","4"
"fraud_Hirthe-Beier","2186","4"
"fraud_Kilback and Sons","2282","4"
"fraud_Metz, Russel and Metz","2766","4"
"fraud_Rau-Robel","2850","4"
"fraud_Maggio-Fahey","2000","4"
"fraud_Nader-Maggio","2218","4"
"fraud_Cole, Hills and Jewess","3044","4"
"fraud_Lang, Towne and Schuppe","2788","4"
"fraud_Williamson LLC","2033","4"
"fraud_Collier Inc","1106","4"
"fraud_Connelly-Carter","3095","4"
"fraud_Corwin-Romaguera","1074","4"
"fraud_Lowe, Dietrich and Erdman","2786","4"
"fraud_Crona and Sons","2809","4"
"fraud_Streich Ltd","3029","4"
"fraud_Koss, McLaughlin and Mayer","2273","4"
"fraud_Heller-Abshire","1066","4"
"fraud_Berge, Kautzer and Harris","2315","3"
"fraud_Kris-Kertzmann","995","3"
"fraud_Monahan, Hermann and Johns","1011","3"
"fraud_Klocko, Runolfsdottir and Breitenberg","2067","3"
"fraud_Kling-Grant","1145","3"
"fraud_Morissette, Weber and Wiegand","1124","3"
"fraud_Mueller, Gerhold and Mueller","2239","3"
"fraud_Wilkinson LLC","2248","3"
"fraud_Beier LLC","2341","3"
"fraud_Kessler Inc","973","3"
"fraud_Wilkinson PLC","2696","3"
"fraud_O'Connell, Botsford and Hand","3080","3"
"fraud_Kessler Group","963","3"
"fraud_Kertzmann LLC","2100","3"
"fraud_Osinski Inc","2277","3"
"fraud_Pacocha-Weissnat","2818","3"
"fraud_Padberg-Rogahn","2297","3"
"fraud_Jakubowski Inc","3038","3"
"fraud_Hyatt-Blick","1060","3"
"fraud_Quitzon-Goyette","3110","3"
"fraud_Hintz, Bauch and Smith","2114","3"
"fraud_Rau-Grant","2838","3"
"fraud_Hintz-Bruen","1132","3"
"fraud_Hills, Hegmann and Schaefer","2142","3"
"fraud_Hettinger, McCullough and Fay","3029","3"
"fraud_Hermiston, Russel and Price","2393","3"
"fraud_Reilly LLC","2945","3"
"fraud_Reinger, Weissnat and Strosin","2294","3"
"fraud_Rempel PLC","1097","3"
"fraud_Hamill-D'Amore","2136","3"
"fraud_Hahn, Douglas and Schowalter","963","3"
"fraud_Hagenes, Kohler and Hoppe","2273","3"
"fraud_Romaguera Ltd","2099","3"
"fraud_Rowe-Vandervort","1159","3"
"fraud_Greenholt Ltd","2057","3"
"fraud_Runolfsson and Sons","1119","3"
"fraud_Goldner-Lemke","2330","3"
"fraud_Rutherford, Homenick and Bergstrom","1172","3"
"fraud_Satterfield-Lowe","936","3"
"fraud_Fritsch LLC","1019","3"
"fraud_Friesen Ltd","2128","3"
"fraud_Friesen-Ortiz","2235","3"
"fraud_Bednar Inc","1042","3"
"fraud_Eichmann-Kilback","3114","3"
"fraud_Ebert-Daugherty","1050","3"
"fraud_Bechtelar-Rippin","2241","3"
"fraud_Durgan, Gislason and Spencer","2934","3"
"fraud_Wuckert-Goldner","2972","3"
"fraud_Stark-Koss","3065","3"
"fraud_Cronin, Kshlerin and Weber","2127","3"
"fraud_Conroy-Emard","2219","3"
"fraud_Swaniawski, Nitzsche and Welch","2147","3"
"fraud_Collier LLC","3048","3"
"fraud_Thiel-Thiel","2379","3"
"fraud_Carroll PLC","2128","3"
"fraud_Bahringer Group","2115","3"
"fraud_Turcotte-Halvorson","1971","3"
"fraud_Boyer-Haley","1011","3"
"fraud_Boehm, Block and Jakubowski","1904","3"
"fraud_Block Group","1956","3"
"fraud_Bins-Tillman","2342","3"
"fraud_Zboncak LLC","2229","3"
"fraud_Bernier and Sons","2873","3"
"fraud_Waters-Cruickshank","2188","3"
"fraud_Armstrong, Walter and Gottlieb","2278","3"
"fraud_Bernhard-Lesch","2290","3"
"fraud_Kub PLC","2236","3"
"fraud_Little-Gleichner","991","3"
"fraud_Leannon-Ward","2295","3"
"fraud_Lubowitz-Walter","2780","3"
"fraud_Leannon-Nikolaus","988","3"
"fraud_Larson, Quitzon and Spencer","1013","3"
"fraud_Langosh, Wintheiser and Hyatt","2255","3"
"fraud_Lakin, Ferry and Beatty","2282","3"
"fraud_Labadie LLC","2256","3"
"fraud_Kutch Group","1105","3"
"fraud_McCullough Group","1126","3"
"fraud_McCullough LLC","2046","3"
"fraud_McCullough, Hudson and Schuster","2252","3"
"fraud_Medhurst, Cartwright and Ebert","2196","3"
"fraud_Johns Inc","2311","2"
"fraud_Mante, Luettgen and Hackett","2155","2"
"fraud_Volkman PLC","2362","2"
"fraud_Medhurst Inc","3097","2"
"fraud_Smitham-Schiller","1126","2"
"fraud_Funk Group","1114","2"
"fraud_Berge-Hills","2929","2"
"fraud_Fritsch and Sons","2113","2"
"fraud_Lubowitz, Terry and Stracke","2192","2"
"fraud_Kilback, Nitzsche and Leffler","976","2"
"fraud_Denesik, Powlowski and Pouros","3139","2"
"fraud_Douglas, DuBuque and McKenzie","961","2"
"fraud_Dicki Ltd","1155","2"
"fraud_Gerhold LLC","2946","2"
"fraud_Kulas Group","2137","2"
"fraud_Feil-Morar","2150","2"
"fraud_Goyette-Gerhold","2855","2"
"fraud_Fadel Inc","2193","2"
"fraud_Becker, Harris and Harvey","2378","2"
"fraud_Fadel-Hilpert","2073","2"
"fraud_Goyette-Herzog","984","2"
"fraud_Graham and Sons","2125","2"
"fraud_Gutmann, McLaughlin and Wiza","3055","2"
"fraud_Roob-Okuneva","2105","2"
"fraud_Zemlak, Tillman and Cremin","2194","2"
"fraud_Schroeder, Wolff and Hermiston","1005","2"
"fraud_Schulist Ltd","2300","2"
"fraud_Erdman-Durgan","2057","2"
"fraud_Stiedemann Ltd","2244","2"
"fraud_Thiel Ltd","1050","2"
"fraud_Stokes, Christiansen and Sipes","1154","2"
"fraud_Pollich LLC","3093","2"
"fraud_Tillman LLC","1022","2"
"fraud_Cartwright PLC","2786","2"
"fraud_Lynch-Mohr","1018","2"
"fraud_Brown, Homenick and Lesch","2161","2"
"fraud_Skiles-Ankunding","1124","2"
"fraud_Cummerata-Hilpert","2254","2"
"fraud_Hartmann, Rowe and Hermann","1057","2"
"fraud_Heller PLC","2056","2"
